timestamp,aircraftid,lat,lon,altitude
482.0,LNI204,-6.1905079390835995,106.77387686767275,19.9644
482.0,BTK702,-6.224725854688728,106.81575457426152,19.9644
482.0,CTV855,-6.156871695535061,106.70817015075247,19.9644
483.0,SD05,-6.187028603638038,106.7582172975513,19.9644
483.0,LNI204,-6.190420146315858,106.77363637281996,19.9644
483.0,BTK702,-6.224481440553937,106.81535890298363,19.9644
483.0,CTV855,-6.157063732762991,106.7084888052016,19.9644
484.0,SD05,-6.187160609095321,106.75843639789834,19.9644
484.0,LNI204,-6.190332353439787,106.77339587804713,19.9644
484.0,BTK702,-6.2242370261246105,106.81496323207392,19.9644
484.0,CTV855,-6.1572557698019335,106.70880745988114,19.9644
485.0,SD05,-6.1872926144628275,106.75865549835481,19.9644
485.0,LNI204,-6.190244560455385,106.77315538335431,19.9644
485.0,BTK702,-6.223992611400779,106.8145675615324,19.9644
485.0,CTV855,-6.157447806651877,106.70912611479115,19.9644
486.0,SD05,-6.187424619740556,106.75887459892077,19.9644
486.0,LNI204,-6.190156767362646,106.77291488874144,19.9644
486.0,BTK702,-6.2237481963824415,106.81417189135902,19.9644
486.0,CTV855,-6.1576398433128325,106.7094447699316,19.9644
487.0,SD05,-6.1875566249285034,106.75909369959615,19.9644
487.0,LNI204,-6.190068974161568,106.77267439420856,19.9644
487.0,BTK702,-6.223503781069614,106.8137762215538,19.9644
487.0,CTV855,-6.157831879784776,106.7097634253025,19.9644
488.0,SD05,-6.187688630026668,106.75931280038101,19.9644
488.0,LNI204,-6.189981180852139,106.77243389975568,19.9644
488.0,BTK702,-6.223259365462309,106.81338055211671,19.9644
488.0,CTV855,-6.158023916067705,106.71008208090386,19.9644
489.0,SD05,-6.187820635035048,106.75953190127531,19.9644
489.0,LNI204,-6.189893387434368,106.77219340538277,19.9644
489.0,BTK702,-6.223014949560536,106.81298488304773,19.9644
489.0,CTV855,-6.158215952161617,106.71040073673569,19.9644
490.0,SD05,-6.187952639953641,106.75975100227909,19.9644
490.0,LNI204,-6.189805593908227,106.77195291108987,19.9644
490.0,BTK702,-6.222770533364308,106.81258921434687,19.9644
490.0,CTV855,-6.158407988066506,106.710719392798,19.9644
491.0,SD05,-6.188084644782446,106.7599701033923,19.9644
491.0,LNI204,-6.189717800273719,106.77171241687692,19.9644
491.0,BTK702,-6.222526116873638,106.81219354601407,19.9644
491.0,CTV855,-6.158600023782363,106.7110380490908,19.9644
492.0,SD05,-6.18821664952146,106.760189204615,19.9644
492.0,LNI204,-6.189630006530832,106.77147192274403,19.9644
492.0,BTK702,-6.222281700088536,106.81179787804933,19.9644
